File Name,Description
allocone.py,Handles display and editing of individual night allocations for the Subaru Calendar. Manages allocation details including observers remote staff instruments and observation orders. Also generates password images based on GID.
blacklist.py,Displays a list of blackout reservations for cars that restrict users from reserving specific vehicles during certain periods. Fetches data from the blackres table and presents it in an HTML table.
blackone.py,Allows viewing and editing of single blackout reservation entries. Retrieves details for a specific ID from the blackres table and provides a form for modification.
carcal.py,Generates a calendar view for car reservations allowing users to see car availability for different dates. Displays reservations for Reserves or Open cars and highlights days with existing reservations. Includes functionality to search for reservations by user.
carlist.py,Lists all registered cars and their details along with a separate section for blackout reservations. Fetches data from the cars and blackres tables and displays them in HTML tables.
carone.py,Allows viewing and editing of single car details. Retrieves information for a specific ID from the cars table and provides an editable form with fields like car name location phone sequence status wheels and drivers.
fatscomment.py,Displays and allows editing of individual comments related to Faults Accidents and Troubles (FATS). Links to main FATS entries and provides fields for solution description operator and todo items.
fatslist.py,Lists all FATS (Faults Accidents Troubles) entries with searching and ordering capabilities. Displays a summary of each fault and provides links to view individual fault details from the fault table.
fatsone.py,Displays and allows editing of single FATS entries. Includes fields for issue description solution section operator status and todo items. Also displays associated comments and pictures.
get_weather.py,Fetches weather data from Subaru and Keck observatories processes it and writes alarm information to files. Checks for temperature below 0 and humidity above 90 and generates weather alerts.
itemone.py,Manages individual log entries (items) for the Summit Log. Allows viewing editing and deleting log items including details like time title text type downtime subsystem status and user. Provides functionality to create FATS entries from log items.
itemsearch.py,Provides a search interface for Summit Log entries. Users can search for keywords in item titles or text and results are displayed in a table with links to individual entries.
ldaplist.py,Lists users from the STARS LDAP directory with filtering capabilities by first letter of last name or username. Integrates with local users table to show if LDAP user is also registered locally.
login.py,Presents the login page for the OPAL system. Contains a simple HTML form for username and password input with basic styling and branding.
login2.py,Handles the authentication process for OPAL. Validates user credentials sets session cookies with user details upon successful login and redirects to the main menu. Contains commented LDAP authentication code.
logout.py,Invalidates user session cookies effectively logging them out of the OPAL system. Sets cookie expiration to past date and redirects to login page.
loglist.py,Displays a list of Summit Log entries categorized by year. Provides links to view individual log entries and allows users to navigate through different years.
logmail.py,Checks if Summit Log mail for the previous day has been sent. If not executes logmail2.py to send the mail and updates the database accordingly.
logone.py,Core interface for managing daily Summit Log entries. Displays crew information weather conditions observation programs and log items for specific dates. Allows users to enter new log items for different crews (TO IO DC) edit existing items and manage work plans.
logproc3.py,Utility module containing functions for common tasks like generating HTML menus handling cookies for user sessions and sending emails. Crucial for maintaining consistent UI elements and session management across the application.
mailam.py,Checks if Summit Log mail for the previous day has been sent. If not executes the mail sending script and updates the mailed flag in the database.
mailpm.py,Checks if Summit Log Day Mail for the current day has been sent. If not executes planmail2.py to send the mail and updates the days table with mailing status.
planone.py,Manages individual work plan (WP) entries. Allows viewing and editing of WP details including assigned personnel tasks and associated car reservations. Handles creation of new WP entries.
proglist.py,Lists programs for a specific date with deletion capabilities for individual program entries. Fetches data from the progs table and displays it in an HTML table with management links.
progone.py,Manages individual program entries for Summit Log. Allows viewing editing and copying program details including PI instrument observers and start/end times. Integrates with alloc and tsr tables and generates GID password images.
proplist.py,Lists proposals from the props table with filtering by semester and ordering by date PropID SemID or Instrument. Provides links to view individual proposal details and navigate between semesters.
propone.py,Manages individual proposal entries including creation editing and viewing. Handles proposal details like PropID GID instrument dates PI information and associated allocations. Integrates with LDAP for user management.
propsmake.py,Provides interface to create multiple proposal and allocation entries for a given semester. Can generate entries for Engineering Nights or other types with sequential PropIDs and GIDs. Handles date calculations and bulk database insertions.
resday.py,Displays daily overview of car reservations showing car availability and existing reservations in timeline format. Highlights shift cars and allows users to make new reservations or view existing ones. Includes blackout period logic.
reslist.py,Lists car reservations with search capabilities by driver and date range. Displays detailed information about each reservation including timestamps for various travel stages (Depart Arrive) and reservation status.
resone.py,Manages single car reservation entries. Allows viewing and editing of reservation details including car dates times driver passengers and travel destiny. Includes validation to prevent overlapping reservations and sends email notifications.
restimes.py,Provides real-time interface for drivers to update travel timestamps (Depart Arrive) for car reservations. Displays current weather information and lists active reservations for current day with quick update capabilities. Refreshes every 5 minutes.
restimesOpen.py,Similar to restimes.py but designed for public access without login requirements. Provides real-time interface for updating car travel timestamps displays weather information and active car reservations. Refreshes every 2 minutes.
sem_filldatein.py,Utility script that iterates through proposals for a given semester and updates their datein field based on the minimum datein found in their associated allocation entries. Used for data maintenance.
shiftone.py,Manages individual shift entries for car reservations used for recurring reservations over multiple days/nights. Allows creating editing and deleting shifts and generating multiple individual car reservations based on shift parameters. Includes complex logic for different shift types.
shifts.py,Lists car shifts with filtering by driver. Displays summary of each shift and indicates how many individual reservations have been created. Provides links to manage individual shifts and start training for new users.
starslist.py,Lists users from local users table with filtering by first letter of last name. Provides links to view and edit individual user details create new proposals for users and displays LDAP group memberships.
starsone.py,Manages individual user accounts in local users table. Allows viewing and editing of user details like name username email group ID and privileges. Provides functionality to create new user entries and displays LDAP group memberships.
sumcal.py,Generates monthly calendar view for Summit Log displaying log entries and observation programs for each day. Allows filtering by log crew (DC WP TO) and provides links to individual log and program entries. Integrates Zoom meeting information.
tsrlist.py,Lists Telescope Setup Requests (TSRs) with filtering by year. Displays summary of each TSR including PropID instrument date PI and arrival information with links to detailed TSR views.
tsrone.py,Manages individual Telescope Setup Request entries. Allows viewing and editing of detailed TSR information including telescope settings options program details and calibration requirements. Provides email functionality for TSR distribution.
userlist.py,Lists users from local users table displaying user information including privileges training status shift details and contact information. Shows user status and provides links to individual user management.
userone.py,Manages individual user accounts allowing viewing and editing of user details including contact information privileges training status and shift preferences. Handles user creation and provides different access levels for admin users.
writeGroups.py,Utility script that queries STARS LDAP directory for group memberships and writes the information to the local database. Processes multiple administrative groups and stores username-group relationships in the starsldap table.
zoomlist.py,Lists Zoom meeting information for Summit Log entries. Displays ZoomIDs passwords and join URLs for meetings associated with specific dates. Provides both list view and detailed single-date view of Zoom meeting details.
